inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
1,Germany,0,AM Healey,C Breteche,CM Gough,,0,0,0,,,,31574231574
1,Germany,0,AM Healey,C Breteche,CM Gough,,0,0,0,,,,31574231574
1,Germany,0,AM Healey,C Breteche,CM Gough,,0,0,0,,,,31574231574
1,Germany,0,AM Healey,C Breteche,CM Gough,,0,0,0,,,,31574231574
1,Germany,0,AM Healey,C Breteche,CM Gough,,0,0,0,,,,31574231574
1,Germany,0,AM Healey,C Breteche,CM Gough,,0,0,0,,,,31574231574
1,Germany,1,CM Gough,ME Violleau,AM Healey,,0,1,1,,,,31574231574
1,Germany,1,AM Healey,ME Violleau,CM Gough,,0,1,1,,,,31574231574
1,Germany,1,CM Gough,ME Violleau,AM Healey,,0,1,1,,,,31574231574
1,Germany,1,AM Healey,ME Violleau,CM Gough,,0,0,0,,,,31574231574
1,Germany,1,AM Healey,ME Violleau,CM Gough,,0,4,4,,,,31574231574
1,Germany,1,AM Healey,ME Violleau,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,1,AM Healey,ME Violleau,CM Gough,,0,2,2,,,,31574231574
1,Germany,2,CM Gough,C Breteche,AM Healey,,0,0,0,,,,31574231574
1,Germany,2,CM Gough,C Breteche,AM Healey,,0,2,2,,,,31574231574
1,Germany,2,CM Gough,C Breteche,AM Healey,,0,1,1,,,,31574231574
1,Germany,2,AM Healey,C Breteche,CM Gough,,0,0,0,caught,AM Healey,TE Britton,31574231574
1,Germany,2,CM Gough,C Breteche,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,2,CM Gough,C Breteche,A Doddaballapur,wides,1,1,0,,,,31574231574
1,Germany,2,CM Gough,C Breteche,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,3,A Doddaballapur,ME Violleau,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,3,A Doddaballapur,ME Violleau,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,3,A Doddaballapur,ME Violleau,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,3,A Doddaballapur,ME Violleau,CM Gough,,0,0,0,,,,31574231574
1,Germany,3,A Doddaballapur,ME Violleau,CM Gough,,0,1,1,,,,31574231574
1,Germany,3,CM Gough,ME Violleau,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,3,A Doddaballapur,ME Violleau,CM Gough,,0,0,0,,,,31574231574
1,Germany,3,A Doddaballapur,ME Violleau,CM Gough,,0,1,1,,,,31574231574
1,Germany,3,CM Gough,ME Violleau,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,4,CM Gough,AC Brodin,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,4,CM Gough,AC Brodin,A Doddaballapur,,0,2,2,,,,31574231574
1,Germany,4,CM Gough,AC Brodin,A Doddaballapur,wides,1,1,0,,,,31574231574
1,Germany,4,CM Gough,AC Brodin,A Doddaballapur,,0,6,6,,,,31574231574
1,Germany,4,CM Gough,AC Brodin,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,4,CM Gough,AC Brodin,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,4,A Doddaballapur,AC Brodin,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,4,A Doddaballapur,AC Brodin,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,4,A Doddaballapur,AC Brodin,CM Gough,,0,0,0,,,,31574231574
1,Germany,5,CM Gough,PC McGeown,A Doddaballapur,,0,2,2,,,,31574231574
1,Germany,5,CM Gough,PC McGeown,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,5,A Doddaballapur,PC McGeown,CM Gough,,0,0,0,,,,31574231574
1,Germany,5,A Doddaballapur,PC McGeown,CM Gough,,0,0,0,,,,31574231574
1,Germany,5,A Doddaballapur,PC McGeown,CM Gough,,0,0,0,,,,31574231574
1,Germany,5,A Doddaballapur,PC McGeown,CM Gough,,0,1,1,,,,31574231574
1,Germany,6,A Doddaballapur,SPY Baron,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,6,A Doddaballapur,SPY Baron,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,6,A Doddaballapur,SPY Baron,CM Gough,noballs,1,1,0,,,,31574231574
1,Germany,6,A Doddaballapur,SPY Baron,CM Gough,wides,1,1,0,,,,31574231574
1,Germany,6,A Doddaballapur,SPY Baron,CM Gough,,0,1,1,,,,31574231574
1,Germany,6,CM Gough,SPY Baron,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,6,A Doddaballapur,SPY Baron,CM Gough,,0,1,1,,,,31574231574
1,Germany,6,CM Gough,SPY Baron,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,6,A Doddaballapur,SPY Baron,CM Gough,,0,1,1,,,,31574231574
1,Germany,6,CM Gough,SPY Baron,A Doddaballapur,wides,1,1,0,,,,31574231574
1,Germany,6,CM Gough,SPY Baron,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,7,CM Gough,PC McGeown,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,7,CM Gough,PC McGeown,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,7,CM Gough,PC McGeown,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,7,CM Gough,PC McGeown,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,7,CM Gough,PC McGeown,A Doddaballapur,,0,0,0,caught,CM Gough,DL Graham,31574231574
1,Germany,7,JE Ronalds,PC McGeown,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,8,A Doddaballapur,DL Graham,JE Ronalds,,0,2,2,,,,31574231574
1,Germany,8,A Doddaballapur,DL Graham,JE Ronalds,,0,1,1,,,,31574231574
1,Germany,8,JE Ronalds,DL Graham,A Doddaballapur,,0,2,2,,,,31574231574
1,Germany,8,JE Ronalds,DL Graham,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,8,JE Ronalds,DL Graham,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,8,A Doddaballapur,DL Graham,JE Ronalds,,0,1,1,,,,31574231574
1,Germany,9,A Doddaballapur,PC McGeown,JE Ronalds,,0,1,1,,,,31574231574
1,Germany,9,JE Ronalds,PC McGeown,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,9,JE Ronalds,PC McGeown,A Doddaballapur,noballs,1,2,1,,,,31574231574
1,Germany,9,A Doddaballapur,PC McGeown,JE Ronalds,,0,1,1,,,,31574231574
1,Germany,9,JE Ronalds,PC McGeown,A Doddaballapur,,0,0,0,,,,31574231574
1,Germany,9,JE Ronalds,PC McGeown,A Doddaballapur,,0,4,4,,,,31574231574
1,Germany,9,JE Ronalds,PC McGeown,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,10,JE Ronalds,DL Graham,A Doddaballapur,,0,1,1,,,,31574231574
1,Germany,10,A Doddaballapur,DL Graham,JE Ronalds,,0,0,0,,,,31574231574
1,Germany,10,A Doddaballapur,DL Graham,JE Ronalds,,0,0,0,,,,31574231574
1,Germany,10,A Doddaballapur,DL Graham,JE Ronalds,,0,0,0,,,,31574231574
