inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
1,Germany,0,J Broad,Imran Anwar,VB Chikkannaiah,,0,1,1,,,,31907231907
1,Germany,0,VB Chikkannaiah,Imran Anwar,J Broad,,0,1,1,,,,31907231907
1,Germany,0,J Broad,Imran Anwar,VB Chikkannaiah,,0,1,1,,,,31907231907
1,Germany,0,VB Chikkannaiah,Imran Anwar,J Broad,,0,1,1,,,,31907231907
1,Germany,0,J Broad,Imran Anwar,VB Chikkannaiah,,0,1,1,,,,31907231907
1,Germany,0,VB Chikkannaiah,Imran Anwar,J Broad,,0,1,1,,,,31907231907
1,Germany,1,VB Chikkannaiah,Shahid Mahmood,J Broad,,0,0,0,,,,31907231907
1,Germany,1,VB Chikkannaiah,Shahid Mahmood,J Broad,,0,0,0,,,,31907231907
1,Germany,1,VB Chikkannaiah,Shahid Mahmood,J Broad,,0,0,0,,,,31907231907
1,Germany,1,VB Chikkannaiah,Shahid Mahmood,J Broad,,0,2,2,,,,31907231907
1,Germany,1,VB Chikkannaiah,Shahid Mahmood,J Broad,,0,0,0,,,,31907231907
1,Germany,1,VB Chikkannaiah,Shahid Mahmood,J Broad,,0,0,0,,,,31907231907
1,Germany,2,J Broad,Imran Anwar,VB Chikkannaiah,,0,0,0,,,,31907231907
1,Germany,2,J Broad,Imran Anwar,VB Chikkannaiah,,0,0,0,,,,31907231907
1,Germany,2,J Broad,Imran Anwar,VB Chikkannaiah,,0,4,4,,,,31907231907
1,Germany,2,J Broad,Imran Anwar,VB Chikkannaiah,,0,4,4,,,,31907231907
1,Germany,2,J Broad,Imran Anwar,VB Chikkannaiah,,0,1,1,,,,31907231907
1,Germany,2,VB Chikkannaiah,Imran Anwar,J Broad,,0,0,0,,,,31907231907
1,Germany,3,J Broad,Shahid Mahmood,VB Chikkannaiah,,0,0,0,,,,31907231907
1,Germany,3,J Broad,Shahid Mahmood,VB Chikkannaiah,,0,4,4,,,,31907231907
1,Germany,3,J Broad,Shahid Mahmood,VB Chikkannaiah,,0,1,1,,,,31907231907
1,Germany,3,VB Chikkannaiah,Shahid Mahmood,J Broad,,0,1,1,,,,31907231907
1,Germany,3,J Broad,Shahid Mahmood,VB Chikkannaiah,,0,1,1,,,,31907231907
1,Germany,3,VB Chikkannaiah,Shahid Mahmood,J Broad,,0,0,0,,,,31907231907
1,Germany,4,J Broad,S Veerapathiran,VB Chikkannaiah,,0,1,1,,,,31907231907
