inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
2,West Indies,0,XM Marshall,B Lee,WKD Perkins,,0,6,6,,,,3532353
2,West Indies,0,XM Marshall,B Lee,WKD Perkins,,0,0,0,,,,3532353
2,West Indies,0,XM Marshall,B Lee,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,0,WKD Perkins,B Lee,XM Marshall,,0,0,0,,,,3532353
2,West Indies,0,WKD Perkins,B Lee,XM Marshall,,0,1,1,,,,3532353
2,West Indies,0,XM Marshall,B Lee,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,1,XM Marshall,MG Johnson,WKD Perkins,byes,4,4,0,,,,3532353
2,West Indies,1,XM Marshall,MG Johnson,WKD Perkins,,0,6,6,,,,3532353
2,West Indies,1,XM Marshall,MG Johnson,WKD Perkins,wides,3,3,0,,,,3532353
2,West Indies,1,XM Marshall,MG Johnson,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,1,WKD Perkins,MG Johnson,XM Marshall,legbyes,1,1,0,,,,3532353
2,West Indies,1,XM Marshall,MG Johnson,WKD Perkins,,0,6,6,,,,3532353
2,West Indies,1,XM Marshall,MG Johnson,WKD Perkins,,0,4,4,,,,3532353
2,West Indies,2,WKD Perkins,B Lee,XM Marshall,,0,4,4,,,,3532353
2,West Indies,2,WKD Perkins,B Lee,XM Marshall,wides,2,2,0,,,,3532353
2,West Indies,2,XM Marshall,B Lee,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,2,WKD Perkins,B Lee,XM Marshall,,0,1,1,,,,3532353
2,West Indies,2,XM Marshall,B Lee,WKD Perkins,,0,4,4,,,,3532353
2,West Indies,2,XM Marshall,B Lee,WKD Perkins,,0,4,4,,,,3532353
2,West Indies,2,XM Marshall,B Lee,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,3,XM Marshall,SR Watson,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,3,WKD Perkins,SR Watson,XM Marshall,,0,1,1,,,,3532353
2,West Indies,3,XM Marshall,SR Watson,WKD Perkins,,0,0,0,run out,XM Marshall,SR Watson,3532353
2,West Indies,3,D Ramdin,SR Watson,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,3,WKD Perkins,SR Watson,D Ramdin,,0,1,1,,,,3532353
2,West Indies,3,D Ramdin,SR Watson,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,4,D Ramdin,JR Hopes,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,4,WKD Perkins,JR Hopes,D Ramdin,,0,0,0,,,,3532353
2,West Indies,4,WKD Perkins,JR Hopes,D Ramdin,,0,0,0,,,,3532353
2,West Indies,4,WKD Perkins,JR Hopes,D Ramdin,,0,1,1,,,,3532353
2,West Indies,4,D Ramdin,JR Hopes,WKD Perkins,,0,1,1,,,,3532353
2,West Indies,4,WKD Perkins,JR Hopes,D Ramdin,,0,0,0,run out,WKD Perkins,RT Ponting,3532353
2,West Indies,5,DJ Bravo,SR Watson,D Ramdin,,0,1,1,,,,3532353
2,West Indies,5,D Ramdin,SR Watson,DJ Bravo,,0,4,4,,,,3532353
2,West Indies,5,D Ramdin,SR Watson,DJ Bravo,,0,0,0,caught,D Ramdin,MG Johnson,3532353
2,West Indies,5,DJ Bravo,SR Watson,ADS Fletcher,,0,1,1,,,,3532353
2,West Indies,5,ADS Fletcher,SR Watson,DJ Bravo,,0,0,0,,,,3532353
2,West Indies,5,ADS Fletcher,SR Watson,DJ Bravo,,0,0,0,,,,3532353
2,West Indies,6,DJ Bravo,CL White,ADS Fletcher,,0,0,0,,,,3532353
2,West Indies,6,DJ Bravo,CL White,ADS Fletcher,wides,1,1,0,,,,3532353
2,West Indies,6,DJ Bravo,CL White,ADS Fletcher,wides,1,1,0,,,,3532353
2,West Indies,6,DJ Bravo,CL White,ADS Fletcher,,0,0,0,,,,3532353
2,West Indies,6,DJ Bravo,CL White,ADS Fletcher,byes,2,2,0,,,,3532353
2,West Indies,6,DJ Bravo,CL White,ADS Fletcher,,0,6,6,,,,3532353
2,West Indies,6,DJ Bravo,CL White,ADS Fletcher,,0,0,0,,,,3532353
2,West Indies,6,DJ Bravo,CL White,ADS Fletcher,,0,0,0,,,,3532353
2,West Indies,7,ADS Fletcher,MG Johnson,DJ Bravo,,0,0,0,,,,3532353
2,West Indies,7,ADS Fletcher,MG Johnson,DJ Bravo,,0,1,1,,,,3532353
2,West Indies,7,DJ Bravo,MG Johnson,ADS Fletcher,,0,6,6,,,,3532353
2,West Indies,7,DJ Bravo,MG Johnson,ADS Fletcher,,0,1,1,,,,3532353
2,West Indies,7,ADS Fletcher,MG Johnson,DJ Bravo,,0,1,1,,,,3532353
2,West Indies,7,DJ Bravo,MG Johnson,ADS Fletcher,,0,1,1,,,,3532353
2,West Indies,8,DJ Bravo,JR Hopes,ADS Fletcher,,0,1,1,,,,3532353
2,West Indies,8,ADS Fletcher,JR Hopes,DJ Bravo,legbyes,1,1,0,,,,3532353
2,West Indies,8,DJ Bravo,JR Hopes,ADS Fletcher,,0,4,4,,,,3532353
2,West Indies,8,DJ Bravo,JR Hopes,ADS Fletcher,,0,1,1,,,,3532353
2,West Indies,8,ADS Fletcher,JR Hopes,DJ Bravo,,0,4,4,,,,3532353
2,West Indies,8,ADS Fletcher,JR Hopes,DJ Bravo,,0,0,0,,,,3532353
2,West Indies,9,DJ Bravo,SR Watson,ADS Fletcher,,0,6,6,,,,3532353
