inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
2,Malta,0,Zeeshan Khan,Murid Ekrami,HS Gericke,,0,0,0,,,,31567231567
2,Malta,0,Zeeshan Khan,Murid Ekrami,HS Gericke,,0,1,1,,,,31567231567
2,Malta,0,HS Gericke,Murid Ekrami,Zeeshan Khan,,0,6,6,,,,31567231567
2,Malta,0,HS Gericke,Murid Ekrami,Zeeshan Khan,,0,1,1,,,,31567231567
2,Malta,0,Zeeshan Khan,Murid Ekrami,HS Gericke,,0,4,4,,,,31567231567
2,Malta,0,Zeeshan Khan,Murid Ekrami,HS Gericke,,0,4,4,,,,31567231567
2,Malta,1,HS Gericke,Ashiqullah Said,Zeeshan Khan,,0,4,4,,,,31567231567
2,Malta,1,HS Gericke,Ashiqullah Said,Zeeshan Khan,,0,1,1,,,,31567231567
2,Malta,1,Zeeshan Khan,Ashiqullah Said,HS Gericke,,0,4,4,,,,31567231567
2,Malta,1,Zeeshan Khan,Ashiqullah Said,HS Gericke,,0,0,0,,,,31567231567
2,Malta,1,Zeeshan Khan,Ashiqullah Said,HS Gericke,,0,0,0,caught,Zeeshan Khan,NSK Mehta,31567231567
2,Malta,1,HS Gericke,Ashiqullah Said,SSM Stanislaus,,0,4,4,,,,31567231567
2,Malta,2,SSM Stanislaus,Khalid Ahmadi,HS Gericke,,0,0,0,,,,31567231567
2,Malta,2,SSM Stanislaus,Khalid Ahmadi,HS Gericke,,0,1,1,,,,31567231567
2,Malta,2,HS Gericke,Khalid Ahmadi,SSM Stanislaus,legbyes,1,1,0,,,,31567231567
2,Malta,2,SSM Stanislaus,Khalid Ahmadi,HS Gericke,,0,1,1,,,,31567231567
2,Malta,2,HS Gericke,Khalid Ahmadi,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,2,HS Gericke,Khalid Ahmadi,SSM Stanislaus,,0,1,1,,,,31567231567
2,Malta,3,HS Gericke,Ashiqullah Said,SSM Stanislaus,,0,2,2,,,,31567231567
2,Malta,3,HS Gericke,Ashiqullah Said,SSM Stanislaus,,0,0,0,caught,HS Gericke,S Jamil,31567231567
2,Malta,3,VP Thamotharam,Ashiqullah Said,SSM Stanislaus,,0,1,1,,,,31567231567
2,Malta,3,SSM Stanislaus,Ashiqullah Said,VP Thamotharam,,0,0,0,,,,31567231567
2,Malta,3,SSM Stanislaus,Ashiqullah Said,VP Thamotharam,,0,0,0,,,,31567231567
2,Malta,3,SSM Stanislaus,Ashiqullah Said,VP Thamotharam,,0,0,0,,,,31567231567
2,Malta,4,VP Thamotharam,Khalid Ahmadi,SSM Stanislaus,,0,0,0,bowled,VP Thamotharam,,31567231567
2,Malta,4,B Arora,Khalid Ahmadi,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,4,B Arora,Khalid Ahmadi,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,4,B Arora,Khalid Ahmadi,SSM Stanislaus,,0,2,2,,,,31567231567
2,Malta,4,B Arora,Khalid Ahmadi,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,4,B Arora,Khalid Ahmadi,SSM Stanislaus,,0,1,1,,,,31567231567
2,Malta,5,B Arora,Ashiqullah Said,SSM Stanislaus,,0,1,1,,,,31567231567
2,Malta,5,SSM Stanislaus,Ashiqullah Said,B Arora,,0,1,1,,,,31567231567
2,Malta,5,B Arora,Ashiqullah Said,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,5,B Arora,Ashiqullah Said,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,5,B Arora,Ashiqullah Said,SSM Stanislaus,,0,1,1,,,,31567231567
2,Malta,5,SSM Stanislaus,Ashiqullah Said,B Arora,,0,2,2,,,,31567231567
2,Malta,6,B Arora,NSK Mehta,SSM Stanislaus,,0,1,1,,,,31567231567
2,Malta,6,SSM Stanislaus,NSK Mehta,B Arora,,0,1,1,,,,31567231567
2,Malta,6,B Arora,NSK Mehta,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,6,B Arora,NSK Mehta,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,6,B Arora,NSK Mehta,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,6,B Arora,NSK Mehta,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,7,SSM Stanislaus,Saber Zakhil,B Arora,,0,1,1,,,,31567231567
2,Malta,7,B Arora,Saber Zakhil,SSM Stanislaus,,0,0,0,,,,31567231567
2,Malta,7,B Arora,Saber Zakhil,SSM Stanislaus,,0,1,1,,,,31567231567
2,Malta,7,SSM Stanislaus,Saber Zakhil,B Arora,,0,0,0,run out,SSM Stanislaus,NSK Mehta,31567231567
2,Malta,7,B Arora,Saber Zakhil,N Khanna,wides,1,1,0,,,,31567231567
2,Malta,7,B Arora,Saber Zakhil,N Khanna,,0,0,0,,,,31567231567
2,Malta,7,B Arora,Saber Zakhil,N Khanna,wides,1,1,0,,,,31567231567
2,Malta,7,B Arora,Saber Zakhil,N Khanna,,0,0,0,,,,31567231567
2,Malta,8,N Khanna,Khalid Ahmadi,B Arora,,0,0,0,,,,31567231567
2,Malta,8,N Khanna,Khalid Ahmadi,B Arora,,0,1,1,,,,31567231567
2,Malta,8,B Arora,Khalid Ahmadi,N Khanna,,0,0,0,,,,31567231567
2,Malta,8,B Arora,Khalid Ahmadi,N Khanna,legbyes,1,1,0,,,,31567231567
2,Malta,8,N Khanna,Khalid Ahmadi,B Arora,,0,4,4,,,,31567231567
2,Malta,8,N Khanna,Khalid Ahmadi,B Arora,,0,2,2,,,,31567231567
2,Malta,9,B Arora,Saber Zakhil,N Khanna,,0,1,1,,,,31567231567
2,Malta,9,N Khanna,Saber Zakhil,B Arora,,0,2,2,,,,31567231567
2,Malta,9,N Khanna,Saber Zakhil,B Arora,,0,0,0,,,,31567231567
2,Malta,9,N Khanna,Saber Zakhil,B Arora,,0,1,1,,,,31567231567
2,Malta,9,B Arora,Saber Zakhil,N Khanna,wides,1,1,0,,,,31567231567
2,Malta,9,B Arora,Saber Zakhil,N Khanna,,0,0,0,,,,31567231567
2,Malta,9,B Arora,Saber Zakhil,N Khanna,legbyes,1,1,0,,,,31567231567
2,Malta,10,B Arora,NSK Mehta,N Khanna,,0,0,0,,,,31567231567
2,Malta,10,B Arora,NSK Mehta,N Khanna,,0,1,1,,,,31567231567
2,Malta,10,N Khanna,NSK Mehta,B Arora,,0,6,6,,,,31567231567
2,Malta,10,N Khanna,NSK Mehta,B Arora,wides,1,1,0,,,,31567231567
2,Malta,10,N Khanna,NSK Mehta,B Arora,,0,1,1,,,,31567231567
2,Malta,10,B Arora,NSK Mehta,N Khanna,,0,0,0,,,,31567231567
2,Malta,10,B Arora,NSK Mehta,N Khanna,,0,0,0,,,,31567231567
2,Malta,11,N Khanna,Murid Ekrami,B Arora,,0,1,1,,,,31567231567
2,Malta,11,B Arora,Murid Ekrami,N Khanna,,0,0,0,,,,31567231567
2,Malta,11,B Arora,Murid Ekrami,N Khanna,,0,0,0,,,,31567231567
2,Malta,11,B Arora,Murid Ekrami,N Khanna,,0,1,1,,,,31567231567
2,Malta,11,N Khanna,Murid Ekrami,B Arora,,0,0,0,,,,31567231567
2,Malta,11,N Khanna,Murid Ekrami,B Arora,,0,1,1,,,,31567231567
2,Malta,12,N Khanna,NSK Mehta,B Arora,,0,4,4,,,,31567231567
2,Malta,12,N Khanna,NSK Mehta,B Arora,,0,1,1,,,,31567231567
2,Malta,12,B Arora,NSK Mehta,N Khanna,,0,0,0,,,,31567231567
2,Malta,12,B Arora,NSK Mehta,N Khanna,,0,1,1,,,,31567231567
2,Malta,12,N Khanna,NSK Mehta,B Arora,,0,2,2,,,,31567231567
2,Malta,12,N Khanna,NSK Mehta,B Arora,,0,1,1,,,,31567231567
2,Malta,13,N Khanna,Murid Ekrami,B Arora,,0,0,0,,,,31567231567
2,Malta,13,N Khanna,Murid Ekrami,B Arora,,0,0,0,,,,31567231567
2,Malta,13,N Khanna,Murid Ekrami,B Arora,,0,0,0,,,,31567231567
2,Malta,13,N Khanna,Murid Ekrami,B Arora,,0,2,2,,,,31567231567
2,Malta,13,N Khanna,Murid Ekrami,B Arora,,0,1,1,,,,31567231567
2,Malta,13,B Arora,Murid Ekrami,N Khanna,,0,1,1,,,,31567231567
2,Malta,14,B Arora,NSK Mehta,N Khanna,,0,0,0,,,,31567231567
2,Malta,14,B Arora,NSK Mehta,N Khanna,,0,1,1,,,,31567231567
2,Malta,14,N Khanna,NSK Mehta,B Arora,,0,1,1,,,,31567231567
2,Malta,14,B Arora,NSK Mehta,N Khanna,,0,0,0,,,,31567231567
2,Malta,14,B Arora,NSK Mehta,N Khanna,,0,1,1,,,,31567231567
2,Malta,14,N Khanna,NSK Mehta,B Arora,,0,0,0,,,,31567231567
2,Malta,15,B Arora,Ashiqullah Said,N Khanna,,0,0,0,,,,31567231567
2,Malta,15,B Arora,Ashiqullah Said,N Khanna,,0,0,0,,,,31567231567
2,Malta,15,B Arora,Ashiqullah Said,N Khanna,,0,4,4,,,,31567231567
2,Malta,15,B Arora,Ashiqullah Said,N Khanna,,0,0,0,,,,31567231567
2,Malta,15,B Arora,Ashiqullah Said,N Khanna,wides,1,1,0,,,,31567231567
2,Malta,15,B Arora,Ashiqullah Said,N Khanna,,0,0,0,,,,31567231567
