inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
1,Ireland,0,PR Stirling,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,0,PR Stirling,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,0,PR Stirling,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,0,PR Stirling,Naveen-ul-Haq,KJ O'Brien,,0,0,0,caught,PR Stirling,Mohammad Nabi,31392231392
1,Ireland,0,A Balbirnie,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,0,A Balbirnie,Naveen-ul-Haq,KJ O'Brien,,0,4,4,,,,31392231392
1,Ireland,1,KJ O'Brien,Mujeeb Ur Rahman,A Balbirnie,,0,0,0,,,,31392231392
1,Ireland,1,KJ O'Brien,Mujeeb Ur Rahman,A Balbirnie,legbyes,1,1,0,,,,31392231392
1,Ireland,1,A Balbirnie,Mujeeb Ur Rahman,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,1,A Balbirnie,Mujeeb Ur Rahman,KJ O'Brien,,0,4,4,,,,31392231392
1,Ireland,1,A Balbirnie,Mujeeb Ur Rahman,KJ O'Brien,,0,1,1,,,,31392231392
1,Ireland,1,KJ O'Brien,Mujeeb Ur Rahman,A Balbirnie,,0,1,1,,,,31392231392
1,Ireland,2,KJ O'Brien,Naveen-ul-Haq,A Balbirnie,,0,1,1,,,,31392231392
1,Ireland,2,A Balbirnie,Naveen-ul-Haq,KJ O'Brien,,0,0,0,bowled,A Balbirnie,,31392231392
1,Ireland,2,GJ Delany,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,2,GJ Delany,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,2,GJ Delany,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,2,GJ Delany,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,3,KJ O'Brien,Mujeeb Ur Rahman,GJ Delany,legbyes,1,1,0,,,,31392231392
1,Ireland,3,GJ Delany,Mujeeb Ur Rahman,KJ O'Brien,,0,1,1,,,,31392231392
1,Ireland,3,KJ O'Brien,Mujeeb Ur Rahman,GJ Delany,,0,4,4,,,,31392231392
1,Ireland,3,KJ O'Brien,Mujeeb Ur Rahman,GJ Delany,,0,1,1,,,,31392231392
1,Ireland,3,GJ Delany,Mujeeb Ur Rahman,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,3,GJ Delany,Mujeeb Ur Rahman,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,4,KJ O'Brien,Naveen-ul-Haq,GJ Delany,,0,4,4,,,,31392231392
1,Ireland,4,KJ O'Brien,Naveen-ul-Haq,GJ Delany,wides,1,1,0,,,,31392231392
1,Ireland,4,KJ O'Brien,Naveen-ul-Haq,GJ Delany,,0,4,4,,,,31392231392
1,Ireland,4,KJ O'Brien,Naveen-ul-Haq,GJ Delany,,0,0,0,,,,31392231392
1,Ireland,4,KJ O'Brien,Naveen-ul-Haq,GJ Delany,,0,1,1,,,,31392231392
1,Ireland,4,GJ Delany,Naveen-ul-Haq,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,4,GJ Delany,Naveen-ul-Haq,KJ O'Brien,,0,4,4,,,,31392231392
1,Ireland,5,KJ O'Brien,Mujeeb Ur Rahman,GJ Delany,,0,1,1,,,,31392231392
1,Ireland,5,GJ Delany,Mujeeb Ur Rahman,KJ O'Brien,,0,4,4,,,,31392231392
1,Ireland,5,GJ Delany,Mujeeb Ur Rahman,KJ O'Brien,,0,4,4,,,,31392231392
1,Ireland,5,GJ Delany,Mujeeb Ur Rahman,KJ O'Brien,,0,6,6,,,,31392231392
1,Ireland,5,GJ Delany,Mujeeb Ur Rahman,KJ O'Brien,,0,1,1,,,,31392231392
1,Ireland,5,KJ O'Brien,Mujeeb Ur Rahman,GJ Delany,,0,1,1,,,,31392231392
1,Ireland,6,KJ O'Brien,Karim Janat,GJ Delany,,0,1,1,,,,31392231392
1,Ireland,6,GJ Delany,Karim Janat,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,6,GJ Delany,Karim Janat,KJ O'Brien,wides,1,1,0,,,,31392231392
1,Ireland,6,GJ Delany,Karim Janat,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,6,GJ Delany,Karim Janat,KJ O'Brien,,0,0,0,,,,31392231392
1,Ireland,6,GJ Delany,Karim Janat,KJ O'Brien,,0,4,4,,,,31392231392
1,Ireland,6,GJ Delany,Karim Janat,KJ O'Brien,,0,1,1,,,,31392231392
1,Ireland,7,GJ Delany,Qais Ahmad,KJ O'Brien,,0,4,4,,,,31392231392
1,Ireland,7,GJ Delany,Qais Ahmad,KJ O'Brien,,0,1,1,,,,31392231392
1,Ireland,7,KJ O'Brien,Qais Ahmad,GJ Delany,,0,0,0,,,,31392231392
1,Ireland,7,KJ O'Brien,Qais Ahmad,GJ Delany,,0,0,0,,,,31392231392
1,Ireland,7,KJ O'Brien,Qais Ahmad,GJ Delany,,0,1,1,,,,31392231392
1,Ireland,7,GJ Delany,Qais Ahmad,KJ O'Brien,,0,1,1,,,,31392231392
1,Ireland,8,GJ Delany,Karim Janat,KJ O'Brien,,0,1,1,,,,31392231392
1,Ireland,8,KJ O'Brien,Karim Janat,GJ Delany,,0,4,4,,,,31392231392
1,Ireland,8,KJ O'Brien,Karim Janat,GJ Delany,,0,1,1,,,,31392231392
