inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
1,South Africa,0,RE Levi,KMDN Kulasekara,HM Amla,,0,2,2,,,,322123221
1,South Africa,0,RE Levi,KMDN Kulasekara,HM Amla,,0,0,0,,,,322123221
1,South Africa,0,RE Levi,KMDN Kulasekara,HM Amla,,0,2,2,,,,322123221
1,South Africa,0,RE Levi,KMDN Kulasekara,HM Amla,,0,0,0,caught,RE Levi,EMDY Munaweera,322123221
1,South Africa,0,HM Amla,KMDN Kulasekara,F du Plessis,,0,4,4,,,,322123221
1,South Africa,0,HM Amla,KMDN Kulasekara,F du Plessis,,0,1,1,,,,322123221
1,South Africa,1,HM Amla,SL Malinga,F du Plessis,,0,4,4,,,,322123221
1,South Africa,1,HM Amla,SL Malinga,F du Plessis,,0,1,1,,,,322123221
1,South Africa,1,F du Plessis,SL Malinga,HM Amla,,0,1,1,,,,322123221
1,South Africa,1,HM Amla,SL Malinga,F du Plessis,,0,4,4,,,,322123221
1,South Africa,1,HM Amla,SL Malinga,F du Plessis,wides,1,1,0,,,,322123221
1,South Africa,1,HM Amla,SL Malinga,F du Plessis,,0,0,0,,,,322123221
1,South Africa,1,HM Amla,SL Malinga,F du Plessis,,0,1,1,,,,322123221
1,South Africa,2,HM Amla,HMRKB Herath,F du Plessis,,0,1,1,,,,322123221
1,South Africa,2,F du Plessis,HMRKB Herath,HM Amla,,0,2,2,,,,322123221
1,South Africa,2,F du Plessis,HMRKB Herath,HM Amla,,0,0,0,,,,322123221
1,South Africa,2,F du Plessis,HMRKB Herath,HM Amla,,0,2,2,,,,322123221
1,South Africa,2,F du Plessis,HMRKB Herath,HM Amla,,0,1,1,,,,322123221
1,South Africa,2,HM Amla,HMRKB Herath,F du Plessis,,0,0,0,stumped,HM Amla,KC Sangakkara,322123221
1,South Africa,3,F du Plessis,AD Mathews,AB de Villiers,,0,1,1,,,,322123221
1,South Africa,3,AB de Villiers,AD Mathews,F du Plessis,,0,2,2,,,,322123221
1,South Africa,3,AB de Villiers,AD Mathews,F du Plessis,,0,1,1,,,,322123221
1,South Africa,3,F du Plessis,AD Mathews,AB de Villiers,,0,0,0,,,,322123221
1,South Africa,3,F du Plessis,AD Mathews,AB de Villiers,,0,3,3,,,,322123221
1,South Africa,3,AB de Villiers,AD Mathews,F du Plessis,,0,1,1,,,,322123221
1,South Africa,4,AB de Villiers,HMRKB Herath,F du Plessis,,0,4,4,,,,322123221
1,South Africa,4,AB de Villiers,HMRKB Herath,F du Plessis,,0,1,1,,,,322123221
1,South Africa,4,F du Plessis,HMRKB Herath,AB de Villiers,,0,1,1,,,,322123221
1,South Africa,4,AB de Villiers,HMRKB Herath,F du Plessis,,0,6,6,,,,322123221
1,South Africa,4,AB de Villiers,HMRKB Herath,F du Plessis,,0,1,1,,,,322123221
1,South Africa,4,F du Plessis,HMRKB Herath,AB de Villiers,,0,2,2,,,,322123221
1,South Africa,5,AB de Villiers,SL Malinga,F du Plessis,wides,1,1,0,,,,322123221
1,South Africa,5,AB de Villiers,SL Malinga,F du Plessis,,0,6,6,,,,322123221
1,South Africa,5,AB de Villiers,SL Malinga,F du Plessis,,0,2,2,,,,322123221
1,South Africa,5,AB de Villiers,SL Malinga,F du Plessis,,0,2,2,,,,322123221
1,South Africa,5,AB de Villiers,SL Malinga,F du Plessis,,0,2,2,,,,322123221
1,South Africa,5,AB de Villiers,SL Malinga,F du Plessis,,0,2,2,,,,322123221
1,South Africa,5,AB de Villiers,SL Malinga,F du Plessis,,0,0,0,caught,AB de Villiers,BMAJ Mendis,322123221
1,South Africa,6,JP Duminy,NLTC Perera,F du Plessis,,0,2,2,,,,322123221
1,South Africa,6,JP Duminy,NLTC Perera,F du Plessis,,0,0,0,,,,322123221
1,South Africa,6,JP Duminy,NLTC Perera,F du Plessis,legbyes,1,1,0,,,,322123221
1,South Africa,6,F du Plessis,NLTC Perera,JP Duminy,,0,0,0,caught,F du Plessis,BMAJ Mendis,322123221
1,South Africa,6,JP Duminy,NLTC Perera,JA Morkel,,0,4,4,,,,322123221
1,South Africa,6,JP Duminy,NLTC Perera,JA Morkel,,0,6,6,,,,322123221
