inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
1,West Indies,0,J Charles,MA Starc,CH Gayle,,0,0,0,,,,324023240
1,West Indies,0,J Charles,MA Starc,CH Gayle,,0,0,0,,,,324023240
1,West Indies,0,J Charles,MA Starc,CH Gayle,,0,0,0,,,,324023240
1,West Indies,0,J Charles,MA Starc,CH Gayle,wides,1,1,0,,,,324023240
1,West Indies,0,J Charles,MA Starc,CH Gayle,,0,0,0,,,,324023240
1,West Indies,0,J Charles,MA Starc,CH Gayle,,0,0,0,,,,324023240
1,West Indies,0,J Charles,MA Starc,CH Gayle,,0,1,1,,,,324023240
1,West Indies,1,J Charles,SR Watson,CH Gayle,legbyes,1,1,0,,,,324023240
1,West Indies,1,CH Gayle,SR Watson,J Charles,,0,1,1,,,,324023240
1,West Indies,1,J Charles,SR Watson,CH Gayle,,0,0,0,,,,324023240
1,West Indies,1,J Charles,SR Watson,CH Gayle,,0,4,4,,,,324023240
1,West Indies,1,J Charles,SR Watson,CH Gayle,,0,0,0,,,,324023240
1,West Indies,1,J Charles,SR Watson,CH Gayle,,0,4,4,,,,324023240
1,West Indies,2,CH Gayle,MA Starc,J Charles,,0,1,1,,,,324023240
1,West Indies,2,J Charles,MA Starc,CH Gayle,,0,1,1,,,,324023240
1,West Indies,2,CH Gayle,MA Starc,J Charles,,0,0,0,,,,324023240
1,West Indies,2,CH Gayle,MA Starc,J Charles,wides,1,1,0,,,,324023240
1,West Indies,2,CH Gayle,MA Starc,J Charles,,0,1,1,,,,324023240
1,West Indies,2,J Charles,MA Starc,CH Gayle,,0,0,0,caught,J Charles,MS Wade,324023240
1,West Indies,2,MN Samuels,MA Starc,CH Gayle,,0,1,1,,,,324023240
1,West Indies,3,MN Samuels,PJ Cummins,CH Gayle,,0,1,1,,,,324023240
1,West Indies,3,CH Gayle,PJ Cummins,MN Samuels,,0,1,1,,,,324023240
1,West Indies,3,MN Samuels,PJ Cummins,CH Gayle,,0,0,0,,,,324023240
1,West Indies,3,MN Samuels,PJ Cummins,CH Gayle,,0,4,4,,,,324023240
1,West Indies,3,MN Samuels,PJ Cummins,CH Gayle,,0,1,1,,,,324023240
1,West Indies,3,CH Gayle,PJ Cummins,MN Samuels,,0,0,0,,,,324023240
1,West Indies,4,MN Samuels,SR Watson,CH Gayle,legbyes,1,1,0,,,,324023240
1,West Indies,4,CH Gayle,SR Watson,MN Samuels,,0,0,0,,,,324023240
1,West Indies,4,CH Gayle,SR Watson,MN Samuels,,0,0,0,,,,324023240
1,West Indies,4,CH Gayle,SR Watson,MN Samuels,legbyes,1,1,0,,,,324023240
1,West Indies,4,MN Samuels,SR Watson,CH Gayle,,0,1,1,,,,324023240
1,West Indies,4,CH Gayle,SR Watson,MN Samuels,,0,6,6,,,,324023240
1,West Indies,5,MN Samuels,XJ Doherty,CH Gayle,,0,0,0,,,,324023240
1,West Indies,5,MN Samuels,XJ Doherty,CH Gayle,,0,0,0,,,,324023240
1,West Indies,5,MN Samuels,XJ Doherty,CH Gayle,,0,0,0,,,,324023240
1,West Indies,5,MN Samuels,XJ Doherty,CH Gayle,,0,6,6,,,,324023240
1,West Indies,5,MN Samuels,XJ Doherty,CH Gayle,,0,1,1,,,,324023240
1,West Indies,5,CH Gayle,XJ Doherty,MN Samuels,,0,6,6,,,,324023240
1,West Indies,6,MN Samuels,GB Hogg,CH Gayle,,0,6,6,,,,324023240
1,West Indies,6,MN Samuels,GB Hogg,CH Gayle,,0,0,0,,,,324023240
1,West Indies,6,MN Samuels,GB Hogg,CH Gayle,,0,0,0,,,,324023240
1,West Indies,6,MN Samuels,GB Hogg,CH Gayle,,0,0,0,,,,324023240
1,West Indies,6,MN Samuels,GB Hogg,CH Gayle,,0,0,0,,,,324023240
1,West Indies,6,MN Samuels,GB Hogg,CH Gayle,,0,1,1,,,,324023240
1,West Indies,7,MN Samuels,PJ Cummins,CH Gayle,,0,4,4,,,,324023240
1,West Indies,7,MN Samuels,PJ Cummins,CH Gayle,,0,0,0,bowled,MN Samuels,,324023240
1,West Indies,7,DJ Bravo,PJ Cummins,CH Gayle,,0,1,1,,,,324023240
1,West Indies,7,CH Gayle,PJ Cummins,DJ Bravo,,0,1,1,,,,324023240
1,West Indies,7,DJ Bravo,PJ Cummins,CH Gayle,,0,0,0,,,,324023240
1,West Indies,7,DJ Bravo,PJ Cummins,CH Gayle,,0,0,0,,,,324023240
1,West Indies,8,CH Gayle,GB Hogg,DJ Bravo,,0,0,0,,,,324023240
1,West Indies,8,CH Gayle,GB Hogg,DJ Bravo,,0,1,1,,,,324023240
1,West Indies,8,DJ Bravo,GB Hogg,CH Gayle,,0,0,0,,,,324023240
1,West Indies,8,DJ Bravo,GB Hogg,CH Gayle,,0,4,4,,,,324023240
1,West Indies,8,DJ Bravo,GB Hogg,CH Gayle,,0,0,0,,,,324023240
1,West Indies,8,DJ Bravo,GB Hogg,CH Gayle,,0,0,0,,,,324023240
1,West Indies,9,CH Gayle,XJ Doherty,DJ Bravo,,0,0,0,,,,324023240
1,West Indies,9,CH Gayle,XJ Doherty,DJ Bravo,,0,6,6,,,,324023240
1,West Indies,9,CH Gayle,XJ Doherty,DJ Bravo,,0,1,1,,,,324023240
1,West Indies,9,DJ Bravo,XJ Doherty,CH Gayle,,0,1,1,,,,324023240
1,West Indies,9,CH Gayle,XJ Doherty,DJ Bravo,,0,1,1,,,,324023240
1,West Indies,9,DJ Bravo,XJ Doherty,CH Gayle,,0,1,1,,,,324023240
1,West Indies,10,DJ Bravo,DJ Hussey,CH Gayle,,0,1,1,,,,324023240
1,West Indies,10,CH Gayle,DJ Hussey,DJ Bravo,,0,1,1,,,,324023240
1,West Indies,10,DJ Bravo,DJ Hussey,CH Gayle,,0,1,1,,,,324023240
1,West Indies,10,CH Gayle,DJ Hussey,DJ Bravo,,0,1,1,,,,324023240
1,West Indies,10,DJ Bravo,DJ Hussey,CH Gayle,byes,4,4,0,,,,324023240
1,West Indies,10,DJ Bravo,DJ Hussey,CH Gayle,,0,1,1,,,,324023240
1,West Indies,11,DJ Bravo,MA Starc,CH Gayle,,0,1,1,,,,324023240
1,West Indies,11,CH Gayle,MA Starc,DJ Bravo,wides,5,5,0,,,,324023240
1,West Indies,11,CH Gayle,MA Starc,DJ Bravo,,0,0,0,,,,324023240
1,West Indies,11,CH Gayle,MA Starc,DJ Bravo,,0,1,1,,,,324023240
1,West Indies,11,DJ Bravo,MA Starc,CH Gayle,,0,0,0,,,,324023240
1,West Indies,11,DJ Bravo,MA Starc,CH Gayle,,0,0,0,,,,324023240
1,West Indies,11,DJ Bravo,MA Starc,CH Gayle,,0,1,1,,,,324023240
1,West Indies,12,DJ Bravo,SR Watson,CH Gayle,,0,0,0,,,,324023240
1,West Indies,12,DJ Bravo,SR Watson,CH Gayle,,0,0,0,,,,324023240
1,West Indies,12,DJ Bravo,SR Watson,CH Gayle,,0,2,2,,,,324023240
1,West Indies,12,DJ Bravo,SR Watson,CH Gayle,,0,6,6,,,,324023240
1,West Indies,12,DJ Bravo,SR Watson,CH Gayle,,0,1,1,,,,324023240
1,West Indies,12,CH Gayle,SR Watson,DJ Bravo,,0,4,4,,,,324023240
