inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
2,Sri Lanka,0,LD Chandimal,Taskin Ahmed,TM Dilshan,,0,0,0,,,,366623666
2,Sri Lanka,0,LD Chandimal,Taskin Ahmed,TM Dilshan,,0,0,0,,,,366623666
2,Sri Lanka,0,LD Chandimal,Taskin Ahmed,TM Dilshan,,0,0,0,,,,366623666
2,Sri Lanka,0,LD Chandimal,Taskin Ahmed,TM Dilshan,,0,0,0,,,,366623666
2,Sri Lanka,0,LD Chandimal,Taskin Ahmed,TM Dilshan,,0,0,0,,,,366623666
2,Sri Lanka,0,LD Chandimal,Taskin Ahmed,TM Dilshan,,0,4,4,,,,366623666
2,Sri Lanka,1,TM Dilshan,Al-Amin Hossain,LD Chandimal,,0,0,0,,,,366623666
2,Sri Lanka,1,TM Dilshan,Al-Amin Hossain,LD Chandimal,,0,1,1,,,,366623666
2,Sri Lanka,1,LD Chandimal,Al-Amin Hossain,TM Dilshan,,0,2,2,,,,366623666
2,Sri Lanka,1,LD Chandimal,Al-Amin Hossain,TM Dilshan,,0,1,1,,,,366623666
2,Sri Lanka,1,TM Dilshan,Al-Amin Hossain,LD Chandimal,,0,0,0,,,,366623666
2,Sri Lanka,1,TM Dilshan,Al-Amin Hossain,LD Chandimal,,0,1,1,,,,366623666
2,Sri Lanka,2,TM Dilshan,Taskin Ahmed,LD Chandimal,,0,4,4,,,,366623666
2,Sri Lanka,2,TM Dilshan,Taskin Ahmed,LD Chandimal,,0,1,1,,,,366623666
2,Sri Lanka,2,LD Chandimal,Taskin Ahmed,TM Dilshan,,0,1,1,,,,366623666
2,Sri Lanka,2,TM Dilshan,Taskin Ahmed,LD Chandimal,,0,4,4,,,,366623666
2,Sri Lanka,2,TM Dilshan,Taskin Ahmed,LD Chandimal,,0,1,1,,,,366623666
2,Sri Lanka,2,LD Chandimal,Taskin Ahmed,TM Dilshan,,0,0,0,,,,366623666
2,Sri Lanka,3,TM Dilshan,Shakib Al Hasan,LD Chandimal,,0,0,0,caught,TM Dilshan,Soumya Sarkar,366623666
2,Sri Lanka,3,LD Chandimal,Shakib Al Hasan,GSNFG Jayasuriya,,0,1,1,,,,366623666
2,Sri Lanka,3,GSNFG Jayasuriya,Shakib Al Hasan,LD Chandimal,,0,0,0,,,,366623666
2,Sri Lanka,3,GSNFG Jayasuriya,Shakib Al Hasan,LD Chandimal,,0,4,4,,,,366623666
2,Sri Lanka,3,GSNFG Jayasuriya,Shakib Al Hasan,LD Chandimal,,0,0,0,,,,366623666
2,Sri Lanka,3,GSNFG Jayasuriya,Shakib Al Hasan,LD Chandimal,,0,1,1,,,,366623666
2,Sri Lanka,4,GSNFG Jayasuriya,Al-Amin Hossain,LD Chandimal,,0,0,0,,,,366623666
2,Sri Lanka,4,GSNFG Jayasuriya,Al-Amin Hossain,LD Chandimal,,0,6,6,,,,366623666
