inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
2,South Africa,0,D van Niekerk,KH Brunt,L Lee,noballs,1,1,0,,,,345423454
2,South Africa,0,D van Niekerk,KH Brunt,L Lee,,0,4,4,,,,345423454
2,South Africa,0,D van Niekerk,KH Brunt,L Lee,,0,0,0,,,,345423454
2,South Africa,0,D van Niekerk,KH Brunt,L Lee,,0,0,0,,,,345423454
2,South Africa,0,D van Niekerk,KH Brunt,L Lee,,0,0,0,,,,345423454
2,South Africa,0,D van Niekerk,KH Brunt,L Lee,,0,0,0,,,,345423454
2,South Africa,0,D van Niekerk,KH Brunt,L Lee,,0,4,4,,,,345423454
2,South Africa,1,L Lee,A Shrubsole,D van Niekerk,,0,4,4,,,,345423454
2,South Africa,1,L Lee,A Shrubsole,D van Niekerk,,0,0,0,,,,345423454
2,South Africa,1,L Lee,A Shrubsole,D van Niekerk,,0,0,0,bowled,L Lee,,345423454
2,South Africa,1,M du Preez,A Shrubsole,D van Niekerk,,0,0,0,,,,345423454
2,South Africa,1,M du Preez,A Shrubsole,D van Niekerk,,0,0,0,,,,345423454
2,South Africa,1,M du Preez,A Shrubsole,D van Niekerk,,0,0,0,,,,345423454
2,South Africa,2,D van Niekerk,KH Brunt,M du Preez,,0,0,0,,,,345423454
2,South Africa,2,D van Niekerk,KH Brunt,M du Preez,,0,0,0,,,,345423454
2,South Africa,2,D van Niekerk,KH Brunt,M du Preez,,0,0,0,,,,345423454
2,South Africa,2,D van Niekerk,KH Brunt,M du Preez,,0,0,0,,,,345423454
2,South Africa,2,D van Niekerk,KH Brunt,M du Preez,,0,1,1,,,,345423454
2,South Africa,2,M du Preez,KH Brunt,D van Niekerk,,0,4,4,,,,345423454
2,South Africa,3,D van Niekerk,A Shrubsole,M du Preez,,0,0,0,,,,345423454
2,South Africa,3,D van Niekerk,A Shrubsole,M du Preez,noballs,1,5,4,,,,345423454
2,South Africa,3,D van Niekerk,A Shrubsole,M du Preez,,0,0,0,,,,345423454
2,South Africa,3,D van Niekerk,A Shrubsole,M du Preez,,0,4,4,,,,345423454
2,South Africa,3,D van Niekerk,A Shrubsole,M du Preez,,0,0,0,,,,345423454
2,South Africa,3,D van Niekerk,A Shrubsole,M du Preez,,0,1,1,,,,345423454
2,South Africa,3,M du Preez,A Shrubsole,D van Niekerk,,0,4,4,,,,345423454
2,South Africa,4,D van Niekerk,D Hazell,M du Preez,,0,4,4,,,,345423454
2,South Africa,4,D van Niekerk,D Hazell,M du Preez,,0,0,0,,,,345423454
2,South Africa,4,D van Niekerk,D Hazell,M du Preez,,0,2,2,,,,345423454
2,South Africa,4,D van Niekerk,D Hazell,M du Preez,,0,0,0,,,,345423454
2,South Africa,4,D van Niekerk,D Hazell,M du Preez,,0,0,0,,,,345423454
2,South Africa,4,D van Niekerk,D Hazell,M du Preez,,0,0,0,,,,345423454
2,South Africa,5,M du Preez,JL Gunn,D van Niekerk,,0,2,2,,,,345423454
2,South Africa,5,M du Preez,JL Gunn,D van Niekerk,,0,0,0,,,,345423454
